ID,Name,Release_date,URL,Total_tracks
77bk7awXNSGEQkZTcTp2Gj,"Chuttamalle (From ""Devara Part 1"")",2024-08-05,https://open.spotify.com/album/77bk7awXNSGEQkZTcTp2Gj,1
6iBzzhJ3UzJTkR0tWgHyJu,Mass,2004-11-29,https://open.spotify.com/album/6iBzzhJ3UzJTkR0tWgHyJu,6
7gzl2DEz4LGnwM1qr5UIP5,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",2024-05-29,https://open.spotify.com/album/7gzl2DEz4LGnwM1qr5UIP5,1
5Bf9d0EGx9J7m0xHA9Q3Tr,Om Bheem Bush,2024-03-26,https://open.spotify.com/album/5Bf9d0EGx9J7m0xHA9Q3Tr,14
5t9GkWCQGb0ejyH3c8zF1P,ANIMAL (TELUGU),2023-11-24,https://open.spotify.com/album/5t9GkWCQGb0ejyH3c8zF1P,6
4lkXZmx0fyol03xmpQcqV3,"Garam Garam (From ""Saripodhaa Sanivaaram"")",2024-06-15,https://open.spotify.com/album/4lkXZmx0fyol03xmpQcqV3,1
3dzlHbXUELpZY6I6pCYnar,"Oh My Baby (From ""Guntur Kaaram"")(Telugu)",2023-12-11,https://open.spotify.com/album/3dzlHbXUELpZY6I6pCYnar,1
6RsL60SSZTVwigjfyY8mD2,Agnyaathavaasi,2017-11-07,https://open.spotify.com/album/6RsL60SSZTVwigjfyY8mD2,6
6DCevkH61bKK4qIxQV50eB,Indra,2002-06-24,https://open.spotify.com/album/6DCevkH61bKK4qIxQV50eB,6
1NhxK8JrKi6H4jjTEZgheV,"Bhairava Anthem (From ""Kalki 2898 Ad"") (Telugu)",2024-06-16,https://open.spotify.com/album/1NhxK8JrKi6H4jjTEZgheV,1
5GYpy0N0p9KjSy4VRenZeO,"Aa Rojulu Malli Raavu (From ""Committee Kurrollu"")",2024-06-02,https://open.spotify.com/album/5GYpy0N0p9KjSy4VRenZeO,1
40jsLT8ISl1SKoLbb0b6Hm,"Reppal Dappul (From ""Mr. Bachchan"")",2024-07-25,https://open.spotify.com/album/40jsLT8ISl1SKoLbb0b6Hm,1
0eJwR4VRUiGRuU7wjG3QfD,"SteppaMaar (From ""Double ISMART"")(Telugu)",2024-07-01,https://open.spotify.com/album/0eJwR4VRUiGRuU7wjG3QfD,1
6Pofs9s7Bm0UVK94nenVJs,"Ullaasam (From ""Saripodhaa Sanivaaram"")",2024-07-13,https://open.spotify.com/album/6Pofs9s7Bm0UVK94nenVJs,1
1OO05SXoc1JTyvGbxi75Pm,"Fear Song (From ""Devara Part 1"") [Telugu]",2024-05-19,https://open.spotify.com/album/1OO05SXoc1JTyvGbxi75Pm,1
1D5M0OXMaT1dV9MADSPgIg,"Hungry Cheetah (From ""They Call Him OG"")",2023-09-03,https://open.spotify.com/album/1D5M0OXMaT1dV9MADSPgIg,1
3UtsdAsNLgSakD8UYYXf4o,"Gumma (From ""Ambajipeta Marriage Band"")",2023-10-30,https://open.spotify.com/album/3UtsdAsNLgSakD8UYYXf4o,1
0bjug1LVXNf7WiAqNUHjLr,"Souraa (From ""Bharateeyudu 2"")",2024-05-22,https://open.spotify.com/album/0bjug1LVXNf7WiAqNUHjLr,1
43yBwxxfwX5mpyHxFLkqdn,"Kurchi Madathapetti (From ""Guntur Kaaram"")(Telugu)",2023-12-30,https://open.spotify.com/album/43yBwxxfwX5mpyHxFLkqdn,1
18hhin8Y0j4EeOn3G2PYXX,"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [TELUGU]",2024-05-01,https://open.spotify.com/album/18hhin8Y0j4EeOn3G2PYXX,1
3l0neQyP1UjjSFoyCtxS75,"Odiyamma (From ""Hi Nanna"") [TELUGU]",2023-11-28,https://open.spotify.com/album/3l0neQyP1UjjSFoyCtxS75,1
070z9uG6XuIOI49AgwCnCy,MAD,2023-10-04,https://open.spotify.com/album/070z9uG6XuIOI49AgwCnCy,4
7ujJhfGKy2qKe2OBQqw173,Tillu Square,2023-11-27,https://open.spotify.com/album/7ujJhfGKy2qKe2OBQqw173,1
23hkdjynk6g082OKyipKlJ,Kotabommali P.S,2023-09-11,https://open.spotify.com/album/23hkdjynk6g082OKyipKlJ,1
0BV1m2cWIBUmFpO3DhkvJN,"Poolamme Pilla (From ""HanuMan"") [Telugu]",2024-01-29,https://open.spotify.com/album/0BV1m2cWIBUmFpO3DhkvJN,1
6D13wnr8nPxBHLalTHPrqG,"Samayama (From ""Hi Nanna"")",2023-09-16,https://open.spotify.com/album/6D13wnr8nPxBHLalTHPrqG,1
2aNP8WRBq1cUgP4hvblCVa,Manmadhudu,2002-01-01,https://open.spotify.com/album/2aNP8WRBq1cUgP4hvblCVa,6
