Id,Name,Duration,Popularity,Track_number,Add_date,Album_id,Artist_id
1bxzr3JK05fMTcweGAZUHp,"Chuttamalle (From ""Devara Part 1"")",222063,80,1,2024-08-05 12:07:26+00:00,77bk7awXNSGEQkZTcTp2Gj,19LIHDDSHBD5NyYHI3gpzB
18AWYoDcUk4OZuc33H54yq,Mass,249416,56,1,2024-08-27 04:56:53+00:00,6iBzzhJ3UzJTkR0tWgHyJu,5sSzCxHtgL82pYDvx2QyEU
2gKNWPBrI2IRBl2RRUtoEb,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",260177,69,1,2024-06-05 09:12:34+00:00,7gzl2DEz4LGnwM1qr5UIP5,0oOet2f43PA68X5RxKobEy
0kNe3kmRFq7eKVlL15h7nb,Anuvanuvuu,211670,68,7,2024-04-18 09:25:53+00:00,5Bf9d0EGx9J7m0xHA9Q3Tr,4bOqW6xGi7n9315ErmJ2Um
4kVsV4GhcNpHSDs6siioM0,Ammayi,275439,65,1,2023-12-11 04:38:53+00:00,5t9GkWCQGb0ejyH3c8zF1P,3pQ4aA7dkolyjUAMrVScgh
0qdiNx11tQtjFCqbko9i2k,"Garam Garam (From ""Saripodhaa Sanivaaram"")",250761,61,1,2024-08-13 12:02:34+00:00,4lkXZmx0fyol03xmpQcqV3,3Q80PCEUBCiRhLSWdQApNt
0yR49HoYJsJ27ey9rrtKql,"Oh My Baby (From ""Guntur Kaaram"")(Telugu)",156497,64,1,2024-02-12 09:26:05+00:00,3dzlHbXUELpZY6I6pCYnar,2FgHPfRprDaylrSRVf1UlN
5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,258333,65,2,2023-08-30 10:44:11+00:00,6RsL60SSZTVwigjfyY8mD2,4zCH9qm4R2DADamUHMCa6O
4Bb4Vgzp1kAebqI7KnDFPn,Ghallu Ghallu,351557,56,6,2024-08-23 08:38:21+00:00,6DCevkH61bKK4qIxQV50eB,3AMxH9QIPZbK8ND8C9j4Ss
5kNydYWkUyXh4zVoy8QDmC,"Bhairava Anthem (From ""Kalki 2898 Ad"") (Telugu)",163354,62,1,2024-06-16 12:40:05+00:00,1NhxK8JrKi6H4jjTEZgheV,5FVBduYaeVBb6JIghza7v6
4WLb2gV1NHlCC6KMjsWVp6,"Aa Rojulu Malli Raavu (From ""Committee Kurrollu"")",253271,55,1,2024-08-09 13:11:08+00:00,5GYpy0N0p9KjSy4VRenZeO,0LSPREIgGMZXCuKVel7LVD
